time_s,no_channels,s_100_um,s_50_um,s_25_um,s_10_um
7.785030773159644e-06,0.9993454785045528,0.9980315081247346,0.9953836838284549,0.9900070826459458,0.9731990219190224
7.925650552262752e-06,0.9993345067360064,0.9979985102210882,0.9953063003461331,0.989839570994951,0.9727497561112948
8.068810324186865e-06,0.9993233849516625,0.9979650611406963,0.9952278588078793,0.9896697689753824,0.9722943475410717
8.214555968420413e-06,0.9993121117034877,0.9979311565285574,0.9951483490007654,0.9894976544793641,0.9718327369150885
8.362934193165786e-06,0.9993006855428979,0.9978967920280132,0.9950677607079805,0.9893232053906152,0.9713648649175376
8.51399255030822e-06,0.9992891050209542,0.9978619632813398,0.9949860837102124,0.9891463995874389,0.9708906722180851
8.667779450655188e-06,0.9992773686885508,0.9978266659303096,0.9949033077869683,0.9889672149455858,0.9704100994795547
8.824344179450865e-06,0.9992654750965931,0.9977908956167311,0.9948194227178407,0.9887856293409867,0.9699230873652493
8.983736912171006e-06,0.9992534227961685,0.9977546479829568,0.9947344182836977,0.9886016206523361,0.9694295765458854
9.146008730603034e-06,0.9992412103387033,0.9977179186723624,0.9946482842678057,0.9884151667635219,0.9689295077061091
9.311211639216671e-06,0.9992288362761134,0.9976807033297923,0.9945610104568776,0.9882262455658897,0.9684228215505672
9.479398581830088e-06,0.999216299160939,0.9976429976019718,0.9944725866420352,0.9880348349603302,0.9679094588095069
9.650623458577287e-06,0.999203597546471,0.997604797137881,0.994383002619688,0.9878409128591793,0.9673893602438708
9.824941143181862e-06,0.9991907299868599,0.9975660975890885,0.9942922481923184,0.9876444571879215,0.9668624666498663
1.0002407500542777e-05,0.999177695037217,0.9975268946100495,0.9942003131691746,0.9874454458866847,0.9663287188629754
1.0183079404637883e-05,0.9991644912536956,0.9974871838583546,0.9941071873668599,0.9872438569115197,0.9657880577613831
1.0367014756750637e-05,0.9991511171935604,0.9974469609949375,0.994012860609818,0.9870396682354486,0.9652404242687932
1.0554272504026237e-05,0.9991375714152426,0.9974062216842368,0.9939173227307092,0.9868328578492785,0.9646857593566076
1.0744912658362815e-05,0.9991238524783729,0.9973649615943039,0.9938205635706688,0.986623403762167,0.964124004045445
1.0938996315643992e-05,0.9991099589438059,0.9973231763968673,0.9937225729794544,0.9864112840019313,0.9635550994059695
1.1136585675318601e-05,0.9990958893736211,0.9972808617673399,0.9936233408154639,0.9861964766150946,0.9629789865590125
1.13377440603343e-05,0.9990816423311074,0.9972380133847739,0.9935228569456295,0.9859789596666546,0.9623956066749569
1.1542535937431108e-05,0.9990672163807315,0.9971946269317606,0.9934211112451841,0.9857587112395753,0.96180490097237
1.175102693780164e-05,0.9990526100880834,0.9971506980942736,0.9933180935972893,0.9855357094339866,0.961206810715857
1.1963283878124287e-05,0.9990378220198064,0.9971062225614504,0.9932137938925311,0.9853099323660888,0.9606012772131244
1.2179374781976556e-05,0.9990228507435046,0.9970611960253205,0.9931082020282732,0.9850813581667535,0.9599882418112275
1.2399368901635069e-05,0.9990076948276312,0.9970156141804661,0.9930013079078684,0.9848499649798171,0.9593676458919933
1.2623336740269342e-05,0.9989923528413562,0.9969694727236257,0.992893101439725,0.9846157309600595,0.958739430866598
1.2851350074536558e-05,0.9989768233544125,0.996922767353232,0.9927835725362251,0.9843786342708635,0.9581035381692938
1.308348197758423e-05,0.9989611049369235,0.9968754937688891,0.9926727111124969,0.9841386530815553,0.9574599092502684
1.3319806842468597e-05,0.9989451961592046,0.9968276476707817,0.9925605070850317,0.9838957655644132,0.9568084855676317
